id,referencia,nombre,descripcion,id_tipo,cantidad,precio,descuento,iva,aplicarIva
247,QVA-10708,Sweet Potato and Chickpea Bowl,A nourishing bowl of sweet potatoes and chickpeas with spices.,3,13,6.49,10,11,false
248,VTQ-55602,Portable Solar Path Lights,Eco-friendly solar lights for pathways and gardens.,4,24,39.99,11,7,false
249,TQB-62784,Electric Hot Pot,Compact electric pot for hot pot dining at home.,5,13,49.99,6,7,false
250,TIG-61003,Compost Bin,Countertop compost bin for kitchen waste.,5,24,29.99,21,21,true
251,DQF-58719,Whole Grain Hamburger Buns,Soft hamburger buns made with whole grains.,5,21,2.69,15,7,true
252,ECA-79066,Harvest Grain Salad,"A hearty salad with grains, dried fruits, and nuts.",3,10,5.49,14,21,false
253,KLJ-33893,Eggs (dozen),"Farm fresh eggs, essential for breakfast.",5,13,2.99,24,7,true
254,QFY-18548,Smartphone Gimbal Stabilizer,Stabilizer for smooth video recording with smartphones.,4,16,89.99,20,11,true
255,EIY-99914,Set of Herb Garden Markers,Stylish markers for labeling your indoor garden plants.,6,23,8.99,14,21,true
256,JBO-47065,LED Strip Light Kit,Flexible light strips for creative home decor.,4,2,39.99,20,21,true
257,QCG-65718,Overnight Duffle Bag,Spacious duffle bag for weekend getaways.,1,18,34.99,17,7,false
258,LJA-01794,Beef Chili,"Hearty beef chili, ready to heat and eat.",5,6,4.5,14,11,false
259,EJQ-82911,Buffalo Chicken Wraps,Savory wraps with buffalo chicken and fresh vegetables.,2,11,5.99,5,11,false
260,ZWT-99144,Peach Slices (canned),"Juicy peach slices in syrup, perfect for desserts.",1,5,2.49,13,7,false
261,RXD-56365,Garden Tool Set with Carrying Bag,Complete set for garden care with a handy carrying bag.,1,18,39.99,7,7,true
262,XLO-27623,Handheld Shower Head,Adjustable shower head for a luxurious shower experience.,1,8,34.99,18,21,true
263,ZQC-82125,Maple Chipotle Glaze,A sweet and spicy glaze that's perfect for grilling or marinades.,1,17,3.49,9,21,true
264,PGU-29201,Outdoor Sports Backpack,Durable backpack designed for hiking and outdoor excursions.,2,23,49.99,5,21,true
265,XCT-54232,Action Camera,Compact action camera for capturing adventures.,2,17,199.99,9,21,true
266,AJY-76883,Silicone Ice Cube Tray,Flexible tray for easy-release ice cubes.,3,24,10.99,10,21,false
267,MUO-30444,Vegan chocolate chip cookies,"Delicious soft cookies, dairy-free and egg-free, perfect for treats.",4,5,4.79,23,7,false
268,JFI-78961,Pumpkin Spice Muffins,Moist and flavorful muffins packed with fall spices and pumpkin puree.,1,21,3.99,7,11,false
269,RZW-91530,Fitness Balance Ball,Stability ball for Pilates and yoga workouts.,5,25,24.99,17,7,true
270,TUL-57137,Electric Pressure Washer,Powerful electric pressure washer for deep cleaning.,4,5,199.99,23,21,true
271,DVP-09727,Yoga Mat,Non-slip yoga mat for optimal grip and comfort.,1,13,25,7,11,false
272,JIU-48237,Coconut Rice,Fluffy rice cooked with coconut milk for a tropical twist.,4,9,2.29,25,11,false
273,HAL-12465,Camping Tent,Spacious 2-person camping tent with waterproof cover.,3,13,79.99,7,7,true
274,OXX-17518,DIY Organic Gardening Kit,Complete kit for starting your own organic garden.,1,5,39.99,25,21,false
275,BTJ-20656,Mini Meatballs,Frozen mini meatballs that are great as a snack or in pasta dishes.,2,8,5.99,15,7,false
276,XOB-36831,Essential White Button-Up,A classic white button-up shirt for a polished appearance.,5,11,44.99,13,7,true
277,NWQ-48478,Travel Mug,Stainless steel travel mug with spill-proof lid.,4,13,18.99,14,21,false
278,TML-90824,Sushi Roll Kit,All ingredients needed to make your own sushi,5,7,9.99,9,21,true
279,NOW-30122,Plant-Based Cookbook,Delicious recipes focusing on plant-based ingredients.,5,24,29.99,21,21,false
280,YUL-44014,Caramel Apple Chips,Crispy apple chips drizzled with caramel for a sweet treat.,1,15,3.49,22,21,true
281,GFR-87527,Barbecue Chicken Pizza,"Pizza topped with barbecue chicken, cheese, and red onions.",5,15,8.99,25,7,true
282,MGS-91060,Berry Smoothie Mix,Frozen mix for quick berry smoothies.,3,6,4.99,21,7,false
283,ZGE-84273,Fruit and Nut Medley,A healthy mix of assorted dried fruits and nuts for snacking.,5,23,5.99,19,7,true
284,CUD-59118,Crew Neck Sweater,"A comfortable crew neck sweater, great for all seasons.",6,8,39.99,18,7,false
285,MTE-80899,Digital Food Scale,Precision digital scale for accurate cooking measurements.,1,7,22.99,16,7,false
286,YXK-02685,Cucumber Lime Sparkling Water,Refreshing sparkling water with cucumber and lime flavor.,1,6,1.49,21,7,false
287,UKP-57170,Kale & Quinoa Salad Mix,"A nutrient-packed salad mix with kale, quinoa, and a lemon vinaigrette, ready to eat.",5,21,4.49,21,11,true
288,QCB-30514,Couscous Mix,"Fluffy couscous that cooks in just minutes, perfect as a side.",2,8,2.49,8,21,false
289,EUJ-71506,Mini Indoor Herb Garden Kit,All-in-one kit for growing herbs in your kitchen.,1,22,24.99,17,7,false
290,TEP-84076,Bluetooth Sleep Headphones,Comfortable wireless headphones designed for sleeping.,2,25,29.99,5,21,true
291,WQQ-56087,Smart Water Bottle with Hydration Reminder,Bottle that tracks your water intake and reminds you to drink.,4,4,39.99,24,7,true
292,ZXM-62625,Tandoori Chicken Skewers,Marinated chicken skewers infused with traditional tandoori spices.,2,14,7.99,10,11,false
293,QVX-76618,Ground Turkey,"Lean and versatile ground turkey, perfect for various dishes.",5,12,5.49,25,21,false
294,MTT-15551,Herbed Goat Cheese,"Tangy goat cheese infused with herbs, perfect for snacking.",1,7,5.49,11,21,false
295,NGI-88564,Coconut Curry Sauce,A flavorful sauce made with coconut milk and spices.,2,5,3.89,15,7,true
296,XQR-47289,Digital Food Scale,Precision digital scale for accurate cooking measurements.,1,19,22.99,19,7,false
297,NVZ-34245,Manual Coffee Grinder,Compact coffee grinder for fresh ground coffee beans.,2,19,22.99,15,7,false
298,PSH-29680,Rice Pilaf Mix,Quick and easy rice pilaf mix for side dishes.,1,17,2.59,9,21,false
299,PFM-61185,Electric Toothbrush Holder,Sanitary holder that ensures your toothbrush stays clean.,6,14,14.99,11,21,false
300,KYE-88093,Whisk Set,Set of whisks in various sizes for cooking.,4,9,12.99,20,21,false
301,ADZ-64054,Peach Preserves,"Sweet and fruity peach preserves, perfect for spreading on toast.",6,8,3.79,16,11,false
302,KMU-18543,Cotton Tote Bag Set,Reusable tote bags for shopping and eco-friendly living.,2,9,29.99,24,7,true
303,ONP-74247,Quality Chef Apron,Durable apron to keep clothes clean while cooking.,1,25,19.99,16,7,true
304,KSE-33636,Wireless Wi-Fi Extender,Boosts your Wi-Fi coverage for better connectivity.,1,2,49.99,15,7,true
305,AFO-04871,Chickpea Salad Deluxe,"Chickpeas mixed with fresh vegetables and herbs, a nutritious snack or salad.",6,24,4.29,15,11,false
306,KDQ-45483,Spicy Vegetable Sushi Rolls,Vegan sushi filled with spicy vegetables and avocado.,3,3,8.49,16,7,false
307,OJC-78368,Inflatable Paddle Board,Lightweight and portable paddle board for water sports.,2,20,349.99,21,7,true
308,HTH-94832,Gluten-Free Pancake Mix,"Fluffy and delicious pancake mix, perfect for a gluten-free breakfast.",5,6,5.99,15,21,true
309,CPH-34237,Jasmine Rice,"Fragrant jasmine rice, perfect as a side dish.",1,10,2.39,12,11,false
310,CSW-81348,Pineapple Chunks (canned),Sweet pineapple chunks in syrup.,4,22,2.29,20,21,false
311,BUS-02330,Vegetable Lasagna,"Layers of pasta, veggies, and cheese baked to perfection.",4,8,6.99,9,7,false
312,XNA-52119,Personal Blender with Travel Lid,Blender designed for smoothies and shakes on the go.,4,2,34.99,8,7,true
313,EYU-19004,Electric Griddle,Large electric griddle for family meals.,2,19,54.99,8,21,false
314,QFS-95716,Outdoor Camping Hammock,Lightweight and durable hammock for relaxing in nature.,5,10,29.99,5,21,true
315,CWD-81492,Organic Apples,Crisp and delicious organic apples.,5,19,1.89,19,21,false
316,DCU-14050,Essential Oil Roller Bottles,Set of roller bottles for blending and applying essential oils.,5,22,19.99,19,11,false
317,FWQ-29373,Cacao Nibs,"Crunchy cacao nibs, great for adding to smoothies or baking.",3,13,6.49,23,11,false
318,OAB-99427,Whole Roasted Chicken,"Seasoned and roasted to perfection, ready to eat.",1,2,9.99,22,11,true
319,KHD-87933,Dried Apricots,"Sweet, chewy dried apricots, great for snacking or baking.",2,12,3.79,11,7,false
320,CEX-54192,Stainless Steel Cutlery Set,High-quality cutlery set for daily use or special occasions.,2,11,29.99,15,21,true
321,ORC-41081,Garden Hose,Durable 50-foot garden hose with nozzle.,2,7,32.99,5,11,true
322,NXT-59616,Printed Maxi Skirt,A colorful printed maxi skirt for a bohemian look.,5,11,39.99,24,21,false
323,NYN-66651,Chino Shorts,Classic chino shorts in a versatile color for summer adventures.,6,13,34.99,25,11,true
324,PHN-92268,Smashed Avocado with Lime,"A creamy blend of avocados and lime juice, great for spreads or dips.",2,2,2.49,24,21,true
325,ARQ-44811,Sliced Cucumbers,"Freshly sliced cucumbers, great for salads or snacking.",5,5,1.29,13,7,false
326,ZJY-30936,Insulated Coffee Mug,Double-walled mug to keep your drink hot for longer.,1,19,24.99,9,7,false
327,ZWZ-42180,Harvest Grain Salad,"A hearty salad with grains, dried fruits, and nuts.",1,8,5.49,9,21,true
328,JZC-72496,Instant Mashed Potatoes,Quick and easy side dish with buttery flavor.,1,6,1.79,5,7,true
329,YBH-39844,Set of Silicone Cooking Utensils,Non-stick utensils for safe and easy cooking.,5,10,29.99,12,7,false
330,WTC-77282,Roasted Garlic Mashed Potatoes,Creamy mashed potatoes infused with roasted garlic flavor.,5,2,3.99,24,11,true
331,ROQ-08620,Organic Blueberries,Fresh organic blueberries perfect for snacking or baking.,1,10,5.49,15,7,true
332,PPF-59652,Mini Air Purifier,Battery-operated air purifier for small spaces.,2,9,49.99,25,7,false
333,QRI-88374,Grass Fed Beef Patties,Juicy burger patties made with grass-fed beef,6,12,9.99,8,21,false
334,VBY-94162,Thermostatic Shower Valve Kit,Regulate water temperature for safe and comfortable showers.,4,9,39.99,18,21,false
335,EQN-12200,Fitness Mat,Thick and durable mat for workouts and yoga.,2,5,49.99,24,21,true
336,WKX-17896,Pineapple Teriyaki Chicken Mix,A perfect blend of pineapple and teriyaki for stir-fry.,5,19,6.99,5,7,false
337,RVR-55266,Pineapple Rings,Delicious canned pineapple rings for desserts or salads.,3,13,2.49,10,7,false
338,WDL-33472,Gardening Gloves,Durable gardening gloves with reinforced fingertips.,5,19,15.99,19,7,true
339,EDJ-00917,Artisan Flatbreads,"Thin and crispy flatbreads, perfect for dips.",4,11,2.99,9,7,false
340,OKB-48142,Pet Grooming Gloves,Gentle grooming gloves for shedding pets.,5,23,9.99,10,11,false
341,WVU-18037,Apple Cinnamon Breakfast Muffins,Delicious muffins filled with apples and a hint of cinnamon for breakfast.,6,2,3.49,25,11,false
342,IYZ-99001,Coconut Chia Seed Pudding,"Ready-to-eat chia seed pudding made with coconut milk, perfect for breakfast or dessert.",3,16,2.99,10,21,false
343,PVD-86821,Quinoa & Black Bean Salad,A nutritious salad with quinoa and black beans,6,22,7.49,20,7,false
344,UEJ-32717,Tactical Backpack,Durable and versatile backpack for outdoor and travel use.,5,15,59.99,17,7,true
345,BWK-39890,Wireless Wi-Fi Extender,Boosts your Wi-Fi coverage for better connectivity.,5,7,49.99,18,21,false
346,MAE-38961,Cocoa Powder,Rich cocoa powder for baking and chocolate recipes.,3,4,3.99,13,11,true
347,YIS-14208,Mediterranean Chickpea Bowl,"Chickpeas served with olives, feta, and hummus, a healthy meal.",5,23,6.49,7,21,true
348,FML-66191,Coconut Curry Sauce,A flavorful sauce made with coconut milk and spices.,4,9,3.89,24,21,true
349,YZW-61192,Kids' Learning Tablet,Educational tablet designed for preschool-age children.,5,17,129.99,25,11,false
350,SPZ-55411,Ice Cream,"Rich and creamy ice cream, available in various flavors.",6,5,5.99,10,21,true
351,HQP-22946,Fruit & Nut Trail Mix,"A blend of dried fruits and nuts, great for snacking.",4,14,4.99,12,21,false
352,KUE-90294,Artisan Bread Loaf,"Fresh artisan bread, perfect for sandwiches",1,14,3.99,6,7,false
353,DVA-13879,Smartphone Tripod with Bluetooth Remote,Tripod with wireless remote for effortless photo-taking.,3,9,29.99,7,11,true
354,MMB-70993,Artisan Pickles,Tangy and crunchy dill pickles.,5,15,2.49,5,7,true
355,NZD-18887,Gingerbread House Kit,Everything you need to build a festive gingerbread house.,6,24,6.99,18,7,true
356,NHN-79076,Classic Slim Fit Shirt,A tailored slim fit shirt for a polished look at work.,3,15,49.99,9,11,false
357,CBU-63447,Almond Crunch Granola Bars,Nutty granola bars for healthy snacking.,4,15,3.49,25,11,false
358,ELO-26475,Pet Grooming Scissors,Quality scissors designed for easy pet grooming.,1,5,16.99,13,7,false
359,VUE-44052,Chicken Parmesan Dinner Kit,"A complete meal kit containing breaded chicken breast, marinara sauce, and pasta, perfect for a quick dinner.",6,7,14.99,15,21,true
360,BZS-91112,Watercolor Set,Complete watercolor set with paints and brushes.,3,20,19.99,9,7,false
361,JYK-61034,Protein Powder,High-quality whey protein powder for muscle recovery.,2,22,44.99,12,7,true
362,FNG-68539,Raspberry Lemonade Mix,"A refreshing drink mix that combines sweet raspberries and tart lemons, perfect for summer.",1,9,3.99,25,7,true
363,MNX-57734,Pineapple Coconut Rice Mix,A flavorful blend of rice with tropical pineapple and coconut flavors.,6,25,3.99,19,21,false
364,UPY-35632,Multi-Tool,Versatile multi-tool with 15 different functions.,5,10,39.99,6,7,true
365,KGE-13160,Kids' Learning Tablet,Educational tablet designed for preschool-age children.,5,7,129.99,20,21,false
366,MIR-39282,Backpack,Durable and spacious backpack for travel and school.,6,12,49.99,20,21,false
367,ZNR-70012,Handheld Garment Steamer,Quick and easy way to remove wrinkles from clothes.,4,17,34.99,22,21,false
368,WKH-86481,Vegetable Korma,Creamy vegetable curry enriched with spices.,2,4,6.49,23,21,false
369,VFN-42998,Organic Quinoa Chips,"Light and crispy chips made from quinoa, ideal for dipping.",5,17,3.99,6,11,true
370,WRO-23148,Hand Crank Blender,Manual blender for smoothies and mixing ingredients on the go.,6,10,18.99,25,11,true
371,NDI-35185,Whipped Cream Cheese,"Light and fluffy cream cheese, perfect for bagels or cooking.",6,18,2.99,7,21,false
372,ZTH-27297,Camera Tripod,Sturdy camera tripod for professional photography.,4,13,49.99,24,21,true
373,OEF-96722,Vegan Alfredo Sauce,"Creamy, dairy-free Alfredo sauce",4,12,4.99,6,21,false
374,WBM-15546,Folding Pocket Knife,Compact knife with safety lock for everyday use.,6,4,24.99,20,21,true
375,MFJ-94246,Kids' Building Blocks,Colorful building blocks for creative play.,4,8,19.99,17,7,true
376,QSX-77687,Honey Garlic Sauce,A delicious sauce perfect for stir-frying or glazing meats.,6,10,2.59,16,21,false
377,QPI-45901,Bike Repair Tool Kit,Essential tools for bike maintenance and repair.,4,11,29.99,17,7,true
378,NBJ-07660,Frozen Mixed Vegetables,"A mix of carrots, peas, and corn, easy to stir-fry.",6,2,1.99,19,11,true
379,IKM-51596,Winter Insulated Jacket,Warm and stylish jacket for cold weather.,5,3,89.99,25,21,true
380,ZTO-26821,LED Camping Lantern with USB Charging,Rechargeable lantern with multiple brightness settings for outdoors.,2,21,34.99,23,7,true
381,ROJ-38896,Sushi Rice,Short-grain sushi rice for perfect rolls.,4,19,3.99,6,11,false
382,CBT-01982,Camping Chair,Portable folding camping chair with cup holder.,2,23,29.99,12,21,false
383,ZMX-88968,Craft Beer Mustard,Stone-ground mustard infused with craft beer for a gourmet touch.,4,24,3.99,24,7,false
384,MIN-42334,Classic Pesto Sauce,"Fresh basil pesto, perfect for pasta or as a sandwich spread.",4,3,4.29,15,7,true
385,FXK-13463,Handheld Vacuum,Cordless handheld vacuum for quick cleanups.,4,18,79.99,13,11,false
386,PZC-62500,Grilled Veggie Burgers,Delicious veggie burgers loaded with grilled vegetables.,4,21,6.29,9,21,true
387,MQJ-78930,Guitar Tuner,Clip-on guitar tuner with LCD display.,4,15,19.99,24,11,false
388,SIO-19802,Tahini,Creamy tahini made from ground sesame seeds.,6,19,5.49,13,21,false
389,REI-25193,Sun-Dried Tomatoes,Dried tomatoes packed with deep flavor for salads and pasta.,1,5,3.99,6,11,true
390,BDB-80952,Sesame Seeds,Crunchy seeds perfect for toppings and baking.,6,13,1.99,18,11,false
391,VVA-03692,Stuffed Peppers with Quinoa,Bell peppers filled with quinoa and vegetables.,2,13,7.99,14,7,true
392,SAH-52907,Herbed Goat Cheese,"Tangy goat cheese infused with herbs, perfect for snacking.",3,15,5.49,11,7,true
393,ZTJ-92155,Organic Whole Wheat Flour,High-quality whole wheat flour for baking and cooking.,5,14,2.99,16,11,true
394,SMC-33778,Bodyweight Resistance Bands,Set of resistance bands for strength training at home.,2,8,22.99,6,7,true
395,KRF-90135,Puzzle Mat,Foldable mat for jigsaw puzzle assembly.,4,12,22.99,16,11,true
396,SHV-20529,Vegetable Stock,Rich vegetable stock for cooking soups and stews.,3,18,2.49,10,7,true
397,VZU-84620,Kettle Corn Popcorn,"Sweet and salty kettle corn, perfect for snacking.",3,20,2.99,20,21,true
398,ASF-25320,Apple Cinnamon Instant Oatmeal,"Quick oatmeal packets infused with apple and cinnamon, perfect for breakfast.",4,17,3.49,12,21,true
399,DMX-39913,Wooden Toy Train Set,Classic wooden train set for imaginative play.,4,17,29.99,17,11,false
400,NEN-71820,Herbal Tea Variety Pack,"Assorted herbal teas, perfect for a warm and relaxing drink.",3,10,4.99,9,11,false
401,NPD-66919,Surimi Crab Sticks,"Synthetic crab meat sticks, great for salads and sushi.",1,13,4.19,15,7,true
402,BYJ-93497,Classic Leather Wallet,A sleek leather wallet that combines style and functionality.,6,5,34.99,6,11,false
403,FOW-62268,Set of Silicone Baking Molds,Flexible molds perfect for baking cakes and pastries.,1,2,15.99,20,11,false
404,SNL-21688,Pineapple Chunks (canned),Sweet pineapple chunks in syrup.,3,20,2.29,18,21,false
405,CHL-28079,Cat Tree with Scratching Posts,Multi-level cat tree for play and scratching.,1,20,79.99,20,21,false
406,GZK-64760,Coconut Almond Granola,"Crunchy granola made with oats, almonds, and coconut flakes.",5,20,4.99,7,7,false
407,QCS-02635,Fruit Infuser Water Bottle,Water bottle designed to infuse flavors from fruits.,5,17,15.99,23,11,true
408,KGE-33501,Mini Air Hockey Table,Fun tabletop air hockey for home or office.,5,2,39.99,21,21,true
409,LPR-89025,Coffee Maker,Single-serve coffee maker with a built-in grinder.,3,18,89.99,6,11,false
410,VPT-73505,Outdoor Camping Lantern,Rechargeable LED lantern ideal for camping and outdoor activities.,2,13,34.99,6,21,false
411,NAT-50865,Golf Putting Green,Indoor putting green for practicing your putting skills.,4,2,79.99,7,11,false
412,OEV-44014,Travel Hair Straightener,Compact hair straightener for travel.,5,14,29.99,7,7,false
413,PJF-86678,Electric Butter Churn,Automatic churner for making butter at home.,4,5,49.99,8,7,true
414,SCL-80463,Wooden Kitchen Utensil Set,Eco-friendly utensil set made from natural wood.,2,12,19.99,14,7,false
415,MIF-71389,Coconut Lime Rice,"Flavorful rice mixed with coconut and lime, a tropical side dish.",4,14,2.99,15,7,true
416,POO-71590,Children's Gardening Set,Fun gardening tools designed specifically for kids.,6,25,19.99,20,21,true
417,DPY-73563,Cream Cheese,"Smooth and creamy, ideal for spreads or baking.",6,18,2.69,9,11,false
418,PRJ-50170,Herb Drying Rack,Mesh drying rack for preserving herbs and flowers.,2,2,22.99,21,11,false
419,HLY-36364,Avocados,"Fresh, creamy avocados ideal for salads and guacamole.",1,20,1.5,9,21,true
420,GSK-37153,Mini Air Purifier,Battery-operated air purifier for small spaces.,2,2,49.99,9,11,false
421,IQP-12463,Kid's Fruit Snacks,Assorted fruit-flavored gummy snacks that kids love.,4,25,2.49,20,7,false
422,JFZ-73612,Leek and Potato Soup,Savory soup made with leeks and potatoes.,6,17,3.29,6,7,true
423,QRE-33712,Whole Wheat Bread,"Freshly baked whole wheat bread, rich in fiber.",5,22,2.49,22,7,true
424,EQF-10290,Eco-Friendly Cleaning Cloths,Reusable microfiber cloths for environmentally friendly cleaning.,6,23,12.99,12,11,false
425,NUJ-76238,LED Christmas Tree Lights,String lights for decorating holiday trees.,6,9,34.99,7,21,false
426,SJE-19875,Siphon Coffee Maker,Unique coffee brewing method for a flavorful experience.,5,7,49.99,11,11,false
427,TKV-12701,Plant-Based Meal Prep Containers,Eco-friendly meal prep containers for healthy eating.,2,15,18.99,21,11,true
428,UHL-31770,Banana Peanut Butter Smoothie,Frozen smoothie mix with bananas and peanut butter for a quick drink.,6,8,5.49,5,11,false
429,QMM-07863,Savory Rice Cakes,"Lightly salted rice cakes, perfect for a healthy snack.",3,3,2.5,14,21,true
430,SRV-82466,Chocolate Covered Pretzels,"Crunchy pretzels coated in rich chocolate, a sweet treat.",6,12,3.29,24,11,true
431,POP-25921,Granola Cereal,"Crunchy granola with oats, nuts, and honey.",4,20,4.49,13,21,false
432,TGK-10837,Graphic Tee,Soft cotton graphic tee available in various designs.,4,17,19.99,5,7,false
433,SQG-55233,Rustic Wooden Picture Frame,Charming frame to showcase your favorite photos.,6,17,19.99,10,11,false
434,IPN-84767,Rechargeable Battery Organizer,Tidy storage solution for rechargeable batteries.,5,3,17.99,18,21,false
435,MSE-41540,Veggie Lovers Pizza,Frozen pizza loaded with fresh vegetables and mozzarella cheese.,4,19,8.99,20,7,false
436,GWR-44347,Whole Grain Hamburger Buns,Soft hamburger buns made with whole grains.,3,10,2.69,16,21,false
437,XJQ-64408,Coconut Cream Pie Mix,"Creamy, sweet pie mix to make the perfect coconut cream pie.",3,5,4.99,7,21,true
438,OAR-62537,Motion Sensor Light,Battery-operated motion sensor light for safety.,1,2,19.99,14,7,false
439,HTP-37404,Corn Tortillas,"Soft and warm corn tortillas, perfect for tacos and burritos.",1,9,2.49,19,11,true
440,VJZ-86465,Compact Folding Table,Versatile folding table great for events or outdoor activities.,4,16,49.99,22,21,true
441,SFE-42283,Nutritional Yeast,A healthy vegan cheese alternative packed with nutrients and flavor.,4,7,3.59,13,7,true
442,UBP-72001,High-Waisted Skirt,"Chic high-waisted skirt, perfect for professional or casual settings.",5,23,34.99,23,21,false
443,WHE-91607,Sports Bottle,BPA-free sports bottle with flip-top lid.,1,24,15.99,15,21,false
444,ISX-89952,Whole Grain Mustard,Tangy whole grain mustard for sandwiches and dressings.,5,4,3.49,17,7,false
445,HNV-22719,Outdoor String Lights,Fairy lights perfect for decorating patios and backyards.,4,21,24.99,17,7,false
446,QMO-42932,Portable Jump Starter,Compact jump starter for emergency vehicle starts.,1,7,59.99,12,7,true
447,OFW-64119,Travel Pillow,Memory foam travel pillow for neck support.,2,19,22.99,11,7,true
448,OPO-86046,Foam Roller for Muscle Recovery,Use this foam roller for effective post-workout recovery.,1,6,29.99,20,21,false
449,ZQQ-03398,Solar Garden Lights,Energy-efficient lights that charge during the day and illuminate at night.,5,4,39.99,24,21,false
450,BEC-38477,Deep Tissue Massage Gun,Rechargeable massage gun for relieving muscle soreness.,6,13,89.99,12,21,false
451,RCF-09969,Suction Cup Hooks,Reusable suction cup hooks for hanging items.,4,7,9.99,15,21,false
452,MGQ-18622,Air Purifier,HEPA air purifier for clean indoor air.,6,3,129.99,25,7,false
453,HRQ-52325,Almond Butter Cookies,Soft cookies made with almond butter,1,20,4.49,24,21,true
454,GRF-82324,Savory Oatmeal Cups,"Savory oatmeal ready to eat, great for breakfast or a snack.",6,11,1.99,20,11,false
455,PUT-41767,Wall Decals for Kids,Fun and colorful wall decals for children's rooms.,6,24,24.99,16,7,true
456,MHL-24150,Wall-Mounted Wine Rack,Stylish and modern holder for storing wine bottles on walls.,1,9,39.99,21,11,true
457,GMK-33871,Foam Roller for Muscle Recovery,Use this foam roller for effective post-workout recovery.,5,13,29.99,15,11,true
458,NFN-23107,Pineapple Teriyaki Chicken Mix,A perfect blend of pineapple and teriyaki for stir-fry.,4,15,6.99,24,7,true
459,PNC-69014,Portable Pet Water Bottle,Travel-friendly water bottle for pets on the go.,3,5,18.99,21,11,false
460,YDY-53474,Deep Tissue Massage Gun,Rechargeable massage gun for relieving muscle soreness.,6,7,89.99,18,7,false
461,PLO-79862,Lemon Basil Pasta Sauce,A tangy sauce that combines lemon zest and basil for a refreshing flavor.,5,4,4.99,12,7,true
462,AFO-30151,Veggie Chips Variety Pack,A colorful variety of crunchy veggie chips for snacking.,1,12,3.79,17,21,true
463,SVC-61541,Creative Puzzle Game,Challenging and fun puzzle game for all ages.,1,7,19.99,6,7,false
464,JWY-71989,Slingback Sandals,Chic slingback sandals for a relaxed summer vibe.,1,25,29.99,11,21,true
465,HLJ-54532,Lemon Garlic Marinade,"A zesty marinade made with lemon juice and garlic, ideal for chicken or fish.",2,24,4.29,19,11,true
466,DBS-89114,Wall Art Stickers,Removable wall art stickers for home decoration.,1,11,19.99,10,11,false
467,FIZ-63350,Organic Fruit Salad,"Fresh fruit salad, ready to eat and refreshing.",5,14,4.49,18,11,false
468,FMD-02278,Fitness Resistance Bands,Set of resistance bands for home workouts.,1,25,29.99,10,11,false
469,ZSA-22756,Vegetable Korma,Creamy vegetable curry enriched with spices.,6,12,6.49,20,21,false
470,DFX-34674,Digital Bullet Journal,Stylish digital journaling app for notes and organizing tasks.,4,5,24.99,14,21,true
471,WQY-14672,Raspberry Tart,A delicious tart filled with fresh raspberry filling.,2,10,5.49,14,7,false
472,DSV-29273,Organic Coconut Oil,"Cold-pressed coconut oil, perfect for cooking, baking, or skin care.",6,21,8.99,7,21,true
473,JBV-84190,Natural Soy Candles,Eco-friendly soy candles with a variety of scents.,3,16,19.99,17,11,false
474,CWM-15782,Organic Quinoa Chips,"Light and crispy chips made from quinoa, ideal for dipping.",2,14,3.99,6,7,true
475,ITZ-52632,Aeropress Coffee Maker,Portable coffee maker for rich brews on the go.,4,12,29.99,21,21,true
476,UFI-93927,Laptop Backpack,Water-resistant laptop backpack with multiple compartments.,6,19,69.99,21,7,true
477,VQD-61157,Pet Water Fountain,Automatic water fountain for pets with filtration.,3,15,39.99,12,11,true
478,GLD-52890,Adjustable Height Standing Desk Converter,Convert your desk to a standing desk easily.,2,5,89.99,19,21,true
479,IVY-21193,Feta Cheese Crumbles,"Crumbled feta cheese, perfect for salads and Mediterranean dishes.",6,18,2.49,12,11,false
480,OGN-69104,Pumpkin Spice Coffee,"Coffee blend infused with pumpkin spice, perfect for fall.",5,17,7.99,20,11,false
481,HMG-47164,Coconut Curry Chicken,"Tender chicken cooked in a rich coconut curry sauce, ready to heat and serve.",5,19,9.99,9,11,true
482,RSS-86535,Spicy Salsa Verde,"Green salsa with a spicy kick, great for dipping.",5,24,3.49,11,11,true
483,VIY-61592,Crispy Potato Tots,"Golden brown potato tots, crispy on the outside and fluffy inside.",1,12,3.69,14,11,false
484,HLX-60552,Handheld Vacuum,Cordless handheld vacuum for quick cleanups.,2,18,79.99,8,21,true
485,SFB-86411,Pumpkin Puree,"Canned pumpkin puree, perfect for pies and soups.",5,6,2.99,13,7,true
486,LBZ-39721,Tea Infuser,Silicone tea infuser for brewing loose leaf tea.,4,9,12.99,17,21,false
487,PFS-35132,Samoas Cookie Mix,Baking mix to create your favorite Samoa-style cookies at home.,3,10,5.59,22,7,false
488,GBA-03151,Electric Griddle with Removable Plates,Non-stick surface for easy cooking and cleaning.,5,11,59.99,5,11,false
489,JFQ-09808,Chocolate Chip Energy Balls,"No-bake energy balls made with oats, chocolate chips, and honey.",1,16,3.99,24,7,false
490,YHV-93991,Garden Hose Reel,Compact hose reel to keep your garden tidy.,6,19,49.99,5,7,false
491,OUW-77471,Honeycrisp Apples,"Crisp and sweet Honeycrisp apples, freshly picked.",2,10,1.89,20,21,true
492,BFG-74391,Garden Kneeler and Seat,Convertible kneeler and seat for gardening comfort.,1,12,39.99,24,11,true
